noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
clean,kl,0,0.834,0.04705093288421628,0.23658831417560577,0.4948621690273285
clean,gce,0,0.809,0.11168969532847405,0.2993423342704773,0.7818320393562317
clean,mae,0,0.772,0.16882257625460628,0.38123372197151184,1.3161648511886597
clean,sce,0,0.764,0.17822698029875753,0.40580883622169495,1.5144935846328735
clean,hellinger,0,0.822,0.0817773955017328,0.26754701137542725,0.6103617548942566
clean,fisher_rao,0,0.8395,0.07962069697678092,0.24850888550281525,0.6092095375061035
sym_20,kl,0,0.779,0.0991827383041382,0.3185223340988159,0.7105504870414734
sym_20,gce,0,0.7905,0.11530679507553579,0.32692667841911316,0.8204026818275452
sym_20,mae,0,0.6995,0.2401485224217177,0.5201765894889832,2.103201389312744
sym_20,sce,0,0.744,0.18681546391546722,0.43445056676864624,1.470301628112793
sym_20,hellinger,0,0.7885,0.07711840571463105,0.3032677471637726,0.6543434262275696
sym_20,fisher_rao,0,0.811,0.06446659280359743,0.2753527760505676,0.6195388436317444
sym_40,kl,0,0.7265,0.23775847094506022,0.4562724828720093,1.0526381731033325
sym_40,gce,0,0.75,0.11917074306309224,0.37584784626960754,0.8945645689964294
sym_40,mae,0,0.6535,0.2709227087050676,0.5997929573059082,2.3084380626678467
sym_40,sce,0,0.689,0.20686160510778429,0.4988466203212738,1.4785099029541016
sym_40,hellinger,0,0.763,0.023807008385658242,0.3331955671310425,0.7186716198921204
sym_40,fisher_rao,0,0.743,0.02951240772008895,0.35536810755729675,0.7961780428886414
sym_60,kl,0,0.577,0.2886969193592667,0.674107551574707,1.5620543956756592
sym_60,gce,0,0.6645,0.08874793089181182,0.4744207262992859,1.0380676984786987
sym_60,mae,0,0.5545,0.34116274769604205,0.7562846541404724,2.736198663711548
sym_60,sce,0,0.5875,0.22558433600515126,0.6215705275535583,1.6037088632583618
sym_60,hellinger,0,0.6495,0.09253549568355082,0.48967546224594116,1.09981369972229
sym_60,fisher_rao,0,0.5965,0.10836930407583714,0.5429133176803589,1.2482500076293945
asym_40,kl,0,0.6245,0.09029202990978956,0.5346906781196594,1.0464633703231812
asym_40,gce,0,0.624,0.09669002234935763,0.5337125062942505,1.2036948204040527
asym_40,mae,0,0.4835,0.43495649525523183,0.9246566295623779,4.383065700531006
asym_40,sce,0,0.604,0.24274912226945158,0.6280628442764282,1.89601731300354
asym_40,hellinger,0,0.63,0.03640481466054916,0.5184597373008728,1.0833618640899658
asym_40,fisher_rao,0,0.598,0.04348598331212999,0.5434408187866211,1.150404691696167
clean,kl,1,0.8455,0.039933556661009756,0.22646395862102509,0.48530828952789307
clean,gce,1,0.819,0.10634868882596493,0.29109618067741394,0.7782208323478699
clean,mae,1,0.7,0.244241808667779,0.5331538319587708,2.176880359649658
clean,sce,1,0.7855,0.15860795632004737,0.3672797381877899,1.4188239574432373
clean,hellinger,1,0.8235,0.08241118666529654,0.2661845088005066,0.6153640151023865
clean,fisher_rao,1,0.8415,0.08153352968394756,0.2492091953754425,0.6376514434814453
sym_20,kl,1,0.786,0.09624775356054305,0.314470112323761,0.7012919783592224
sym_20,gce,1,0.79,0.1127249990850687,0.32445892691612244,0.7989670634269714
sym_20,mae,1,0.6985,0.22173825803399083,0.501483678817749,1.9167603254318237
sym_20,sce,1,0.743,0.18378110344707968,0.43080198764801025,1.4691264629364014
sym_20,hellinger,1,0.802,0.07053625099360947,0.2927987575531006,0.6412463188171387
sym_20,fisher_rao,1,0.8045,0.07362359449267387,0.2904684543609619,0.6431434154510498
sym_40,kl,1,0.72,0.22278004430234435,0.45398181676864624,1.0524611473083496
sym_40,gce,1,0.761,0.11497412565350532,0.3621716797351837,0.8725553750991821
sym_40,mae,1,0.6645,0.25697804333269597,0.5746574997901917,2.273325204849243
sym_40,sce,1,0.697,0.2019253289997578,0.4847109317779541,1.4344011545181274
sym_40,hellinger,1,0.7535,0.035392305448651316,0.34353968501091003,0.7495065927505493
sym_40,fisher_rao,1,0.754,0.01970445620268582,0.348142147064209,0.7837212085723877
sym_60,kl,1,0.563,0.2728498291745782,0.6825174689292908,1.595340609550476
sym_60,gce,1,0.64,0.1259544680789113,0.5013996958732605,1.1412986516952515
sym_60,mae,1,0.545,0.35750723623484376,0.781846821308136,3.1092891693115234
sym_60,sce,1,0.5935,0.23958238697797057,0.6326023936271667,1.6741434335708618
sym_60,hellinger,1,0.616,0.04689986801892521,0.5148360729217529,1.1746628284454346
sym_60,fisher_rao,1,0.589,0.09018081951886417,0.5624276399612427,1.3029563426971436
asym_40,kl,1,0.6565,0.10576493002474309,0.5054435729980469,1.0180972814559937
asym_40,gce,1,0.671,0.08651740884780885,0.4793109595775604,1.1374104022979736
asym_40,mae,1,0.5715,0.34340972639620304,0.7596796751022339,3.7308952808380127
asym_40,sce,1,0.651,0.21609254679083822,0.5519465208053589,1.6752487421035767
asym_40,hellinger,1,0.662,0.040722080051898944,0.48391926288604736,1.0458358526229858
asym_40,fisher_rao,1,0.627,0.039366901479661445,0.514121949672699,1.128109335899353
clean,kl,2,0.8345,0.04736420495808126,0.23996283113956451,0.5124086737632751
clean,gce,2,0.8215,0.10012976363301276,0.29047253727912903,0.8040635585784912
clean,mae,2,0.6815,0.26507473832368855,0.5661217570304871,2.6410231590270996
clean,sce,2,0.7685,0.17892576150596146,0.3961932361125946,1.5542516708374023
clean,hellinger,2,0.8265,0.07925389437377456,0.26752471923828125,0.6411829590797424
clean,fisher_rao,2,0.835,0.09031909203529356,0.2553364336490631,0.6427842974662781
sym_20,kl,2,0.7795,0.09047584868222472,0.3266855478286743,0.7314315438270569
sym_20,gce,2,0.788,0.11864625188708308,0.3246038258075714,0.8381924629211426
sym_20,mae,2,0.6575,0.2848613914847374,0.607984721660614,2.6364023685455322
sym_20,sce,2,0.738,0.19163171333074572,0.4348069429397583,1.4918044805526733
sym_20,hellinger,2,0.796,0.07313300745934248,0.29299697279930115,0.6431974172592163
sym_20,fisher_rao,2,0.812,0.06867312444746497,0.27965715527534485,0.6410649418830872
sym_40,kl,2,0.714,0.2258893498107791,0.4636198878288269,1.0708181858062744
sym_40,gce,2,0.746,0.12018764936923984,0.380500853061676,0.8884795904159546
sym_40,mae,2,0.547,0.3678714241087437,0.7980716824531555,3.415194272994995
sym_40,sce,2,0.6905,0.2004278886914253,0.4959850013256073,1.4394500255584717
sym_40,hellinger,2,0.753,0.028119778282940378,0.35143280029296875,0.7572835087776184
sym_40,fisher_rao,2,0.7365,0.025293293558061133,0.362062007188797,0.7978678941726685
sym_60,kl,2,0.5775,0.2907199567779899,0.681346595287323,1.5860600471496582
sym_60,gce,2,0.6775,0.09607609707862141,0.4582231938838959,1.0208306312561035
sym_60,mae,2,0.5555,0.3473294916749,0.7688121199607849,3.072061538696289
sym_60,sce,2,0.5945,0.2257533874511719,0.6236611604690552,1.6186293363571167
sym_60,hellinger,2,0.656,0.08557585434615612,0.4910549223423004,1.110447883605957
sym_60,fisher_rao,2,0.6145,0.11548850293457506,0.5465025901794434,1.2594341039657593
asym_40,kl,2,0.6275,0.084666866928339,0.524867832660675,1.0595285892486572
asym_40,gce,2,0.6375,0.12222628264129162,0.5285590887069702,1.2835215330123901
asym_40,mae,2,0.54,0.3756804395839572,0.8084872364997864,3.8902556896209717
asym_40,sce,2,0.6105,0.24081017583608627,0.6083567142486572,1.8875643014907837
asym_40,hellinger,2,0.639,0.031201077029109,0.5172833204269409,1.13722825050354
asym_40,fisher_rao,2,0.6055,0.0618438274860382,0.5392081141471863,1.207668662071228
clean,kl,3,0.8355,0.04110157686471938,0.23095403611660004,0.4864625036716461
clean,gce,3,0.821,0.1020740233361721,0.2859778106212616,0.7663593888282776
clean,mae,3,0.7395,0.20958863578736786,0.4608917236328125,2.0309693813323975
clean,sce,3,0.7785,0.17141141854226588,0.38420435786247253,1.4401729106903076
clean,hellinger,3,0.8245,0.07835116940736775,0.26679527759552,0.6147648692131042
clean,fisher_rao,3,0.85,0.07375102066993712,0.2354288548231125,0.5929001569747925
sym_20,kl,3,0.796,0.11025888004153966,0.31567108631134033,0.7101907730102539
sym_20,gce,3,0.7985,0.11198237431049343,0.3164731562137604,0.7947363257408142
sym_20,mae,3,0.6525,0.2680233627855778,0.598310649394989,2.3325483798980713
sym_20,sce,3,0.7625,0.17165929946303368,0.40174317359924316,1.3416699171066284
sym_20,hellinger,3,0.812,0.06284671807289124,0.2857277989387512,0.6340011954307556
sym_20,fisher_rao,3,0.808,0.07095884883403775,0.2770783007144928,0.6159396767616272
sym_40,kl,3,0.724,0.23128760074079038,0.4545562267303467,1.0508627891540527
sym_40,gce,3,0.7585,0.11630175942182538,0.3630906343460083,0.8672497272491455
sym_40,mae,3,0.599,0.3169792027622461,0.6962054967880249,2.9270095825195312
sym_40,sce,3,0.714,0.18153851690888406,0.4610007703304291,1.3418898582458496
sym_40,hellinger,3,0.7575,0.027566071651875954,0.340533047914505,0.7344468832015991
sym_40,fisher_rao,3,0.7395,0.020780897483229647,0.3546638786792755,0.7729900479316711
sym_60,kl,3,0.5935,0.2994792904183269,0.6689714193344116,1.5634969472885132
sym_60,gce,3,0.691,0.07373598462343217,0.43943995237350464,0.9843576550483704
sym_60,mae,3,0.487,0.4154197445958853,0.8985307812690735,3.8583736419677734
sym_60,sce,3,0.6155,0.20903857436776158,0.581355094909668,1.4922655820846558
sym_60,hellinger,3,0.6635,0.08857461139559744,0.4707302153110504,1.0777995586395264
sym_60,fisher_rao,3,0.623,0.13599773040413857,0.5368697643280029,1.242605447769165
asym_40,kl,3,0.64,0.10436705864220859,0.5169974565505981,1.0296765565872192
asym_40,gce,3,0.653,0.0972566781938076,0.49297094345092773,1.1510266065597534
asym_40,mae,3,0.514,0.40127091059088704,0.8659673929214478,3.9844532012939453
asym_40,sce,3,0.6515,0.20608773097395897,0.5494557619094849,1.659376621246338
asym_40,hellinger,3,0.6515,0.02139880887418988,0.4901290833950043,1.0561935901641846
asym_40,fisher_rao,3,0.6345,0.024904355272650704,0.5095353126525879,1.0989161729812622
clean,kl,4,0.8395,0.04393640133738519,0.22817471623420715,0.4845365583896637
clean,gce,4,0.8245,0.10159972888231275,0.28200873732566833,0.7312275767326355
clean,mae,4,0.725,0.2247639161348343,0.47897231578826904,2.04754638671875
clean,sce,4,0.775,0.17610946808755393,0.3875685930252075,1.4279284477233887
clean,hellinger,4,0.8275,0.07969681832194328,0.25677815079689026,0.5893283486366272
clean,fisher_rao,4,0.8465,0.0806548652946949,0.232380673289299,0.5721092820167542
sym_20,kl,4,0.795,0.09677761065959928,0.3073468804359436,0.6995864510536194
sym_20,gce,4,0.799,0.10889787688851361,0.31322887539863586,0.7841726541519165
sym_20,mae,4,0.701,0.2344869353324175,0.5228033661842346,2.1514060497283936
sym_20,sce,4,0.7485,0.18032867103815076,0.4216844141483307,1.465436577796936
sym_20,hellinger,4,0.8035,0.06825291897356506,0.2840784788131714,0.6185967326164246
sym_20,fisher_rao,4,0.8185,0.07014965859800579,0.26328855752944946,0.5906375050544739
sym_40,kl,4,0.733,0.2493727452456951,0.4595523774623871,1.0583717823028564
sym_40,gce,4,0.768,0.10001426810026166,0.3502267003059387,0.8030474781990051
sym_40,mae,4,0.6545,0.2640215868502855,0.5983937978744507,2.323448419570923
sym_40,sce,4,0.7015,0.19498599192500116,0.4743455648422241,1.344972848892212
sym_40,hellinger,4,0.7605,0.02605191096663476,0.3315705358982086,0.7047590613365173
sym_40,fisher_rao,4,0.7475,0.020866192519664765,0.35270166397094727,0.7714694738388062
sym_60,kl,4,0.599,0.30671114984154707,0.6686655879020691,1.5548100471496582
sym_60,gce,4,0.6785,0.1041113643050194,0.4506341814994812,0.9991705417633057
sym_60,mae,4,0.566,0.3383189635872841,0.7548531293869019,2.944514751434326
sym_60,sce,4,0.594,0.2313849239051342,0.6284536719322205,1.620361566543579
sym_60,hellinger,4,0.665,0.08092976731061936,0.47028839588165283,1.0648363828659058
sym_60,fisher_rao,4,0.623,0.12132288981974124,0.5356669425964355,1.2296868562698364
asym_40,kl,4,0.642,0.08809787291288373,0.5073215365409851,0.9921486377716064
asym_40,gce,4,0.6415,0.11245113759487868,0.5093374252319336,1.181970477104187
asym_40,mae,4,0.45,0.48719503763318056,1.0204434394836426,5.568452835083008
asym_40,sce,4,0.6105,0.25411017903685573,0.6146513819694519,1.7698025703430176
asym_40,hellinger,4,0.655,0.02617588554322718,0.48579514026641846,1.0258506536483765
asym_40,fisher_rao,4,0.626,0.04667627476155757,0.5141682028770447,1.1039284467697144
clean,kl,5,0.8555,0.03282894670963286,0.2115602046251297,0.4492897093296051
clean,gce,5,0.8265,0.10211137549579144,0.270244300365448,0.6698101758956909
clean,mae,5,0.698,0.2483148465305567,0.5412890911102295,2.3067433834075928
clean,sce,5,0.7975,0.15191838981211186,0.3513026237487793,1.2913906574249268
clean,hellinger,5,0.8325,0.07536868983507156,0.2509097754955292,0.5624577403068542
clean,fisher_rao,5,0.85,0.07621985703706738,0.22785557806491852,0.5390462279319763
sym_20,kl,5,0.799,0.10812894459813832,0.30035969614982605,0.6793702244758606
sym_20,gce,5,0.8035,0.10178417386114594,0.29128655791282654,0.6984603404998779
sym_20,mae,5,0.6945,0.2148616479039192,0.5043171644210815,1.764771580696106
sym_20,sce,5,0.768,0.16195444209873672,0.39005395770072937,1.2405097484588623
sym_20,hellinger,5,0.814,0.05592961607873437,0.26819512248039246,0.5659798979759216
sym_20,fisher_rao,5,0.8205,0.057470963254571,0.25535300374031067,0.5778877139091492
sym_40,kl,5,0.73,0.23927619200199848,0.4529202878475189,1.0420541763305664
sym_40,gce,5,0.765,0.10666996763646604,0.3525382876396179,0.8050116896629333
sym_40,mae,5,0.628,0.3045964680463075,0.6570754647254944,2.894659996032715
sym_40,sce,5,0.707,0.18871352258324625,0.4688923954963684,1.3640360832214355
sym_40,hellinger,5,0.7725,0.02666376518458127,0.3233310878276825,0.696064829826355
sym_40,fisher_rao,5,0.755,0.02456355947256088,0.3459140658378601,0.7623558640480042
sym_60,kl,5,0.566,0.28720828260481357,0.6912957429885864,1.6128000020980835
sym_60,gce,5,0.684,0.07458944863080975,0.4284188449382782,0.9616212844848633
sym_60,mae,5,0.5205,0.37660768784582616,0.8290079236030579,3.274050712585449
sym_60,sce,5,0.5955,0.22551640541106463,0.6057543754577637,1.5764740705490112
sym_60,hellinger,5,0.66,0.09128572645783425,0.4776492416858673,1.0925451517105103
sym_60,fisher_rao,5,0.6215,0.13571361565589904,0.5406785011291504,1.2602299451828003
asym_40,kl,5,0.685,0.12944427347928286,0.4924791753292084,0.9626607298851013
asym_40,gce,5,0.6635,0.08419858962297441,0.48475292325019836,1.1055996417999268
asym_40,mae,5,0.589,0.3185046008527279,0.7066792249679565,2.9282023906707764
asym_40,sce,5,0.6225,0.237511454641819,0.5867555141448975,1.74314284324646
asym_40,hellinger,5,0.6695,0.04581845907121897,0.46867144107818604,0.9775751829147339
asym_40,fisher_rao,5,0.641,0.02671923970431088,0.4990018904209137,1.0499340295791626
clean,kl,6,0.8525,0.04091170276701454,0.21653851866722107,0.46113574504852295
clean,gce,6,0.8245,0.10297207656502723,0.28085893392562866,0.7571106553077698
clean,mae,6,0.683,0.2630378790348768,0.5642038583755493,2.60899019241333
clean,sce,6,0.786,0.16623567619919774,0.3614533245563507,1.447218418121338
clean,hellinger,6,0.8355,0.07074335417151453,0.24837766587734222,0.6013512015342712
clean,fisher_rao,6,0.8435,0.08820906923711297,0.2401152402162552,0.616600513458252
sym_20,kl,6,0.795,0.10510691981017588,0.3073374629020691,0.6936746835708618
sym_20,gce,6,0.797,0.1123563728183508,0.30969586968421936,0.7752454280853271
sym_20,mae,6,0.6715,0.2722290987372398,0.5833216309547424,2.5506932735443115
sym_20,sce,6,0.759,0.1778712176680565,0.4028433561325073,1.4167643785476685
sym_20,hellinger,6,0.81,0.06419092930853369,0.2793200612068176,0.6259785890579224
sym_20,fisher_rao,6,0.8275,0.053431853652000455,0.25846776366233826,0.6022495031356812
sym_40,kl,6,0.72,0.21900669856369498,0.4536864161491394,1.0558432340621948
sym_40,gce,6,0.7635,0.11447959788143633,0.3638167977333069,0.8909081816673279
sym_40,mae,6,0.63,0.30131177529692654,0.6548685431480408,2.876544952392578
sym_40,sce,6,0.6945,0.2019196658730507,0.4872772693634033,1.4531211853027344
sym_40,hellinger,6,0.756,0.03346930895745753,0.3347100019454956,0.7346280813217163
sym_40,fisher_rao,6,0.75,0.029694861739873877,0.34534651041030884,0.7751930952072144
sym_60,kl,6,0.5765,0.2902006577849388,0.6828801035881042,1.593295931816101
sym_60,gce,6,0.6945,0.08086832571029663,0.4321952760219574,1.0093544721603394
sym_60,mae,6,0.488,0.4136151778027415,0.8895723819732666,3.777035713195801
sym_60,sce,6,0.601,0.20719223284721378,0.5977785587310791,1.5834298133850098
sym_60,hellinger,6,0.6715,0.09292776767909529,0.46751680970191956,1.0695171356201172
sym_60,fisher_rao,6,0.6325,0.13233316646516322,0.5339682698249817,1.2349817752838135
asym_40,kl,6,0.632,0.0858690939322114,0.5260596871376038,1.043882131576538
asym_40,gce,6,0.6415,0.10306434834003447,0.5090845227241516,1.1864092350006104
