experiment,dataset,corruption_type,stress_level,eval_trustworthiness_n,eval_trustworthiness_mean_diff,eval_trustworthiness_wilcoxon_stat,eval_trustworthiness_wilcoxon_p,eval_trustworthiness_cliffs_delta,eval_continuity_n,eval_continuity_mean_diff,eval_continuity_wilcoxon_stat,eval_continuity_wilcoxon_p,eval_continuity_cliffs_delta,eval_neighborhood_recall_k5_n,eval_neighborhood_recall_k5_mean_diff,eval_neighborhood_recall_k5_wilcoxon_stat,eval_neighborhood_recall_k5_wilcoxon_p,eval_neighborhood_recall_k5_cliffs_delta,eval_neighborhood_recall_k10_n,eval_neighborhood_recall_k10_mean_diff,eval_neighborhood_recall_k10_wilcoxon_stat,eval_neighborhood_recall_k10_wilcoxon_p,eval_neighborhood_recall_k10_cliffs_delta,eval_neighborhood_recall_k20_n,eval_neighborhood_recall_k20_mean_diff,eval_neighborhood_recall_k20_wilcoxon_stat,eval_neighborhood_recall_k20_wilcoxon_p,eval_neighborhood_recall_k20_cliffs_delta,eval_geodesic_spearman_n,eval_geodesic_spearman_mean_diff,eval_geodesic_spearman_wilcoxon_stat,eval_geodesic_spearman_wilcoxon_p,eval_geodesic_spearman_cliffs_delta,eval_pairwise_distortion_n,eval_pairwise_distortion_mean_diff,eval_pairwise_distortion_wilcoxon_stat,eval_pairwise_distortion_wilcoxon_p,eval_pairwise_distortion_cliffs_delta,eval_neighborhood_recall_n,eval_neighborhood_recall_mean_diff,eval_neighborhood_recall_wilcoxon_stat,eval_neighborhood_recall_wilcoxon_p,eval_neighborhood_recall_cliffs_delta,eval_silhouette_n,eval_silhouette_mean_diff,eval_silhouette_wilcoxon_stat,eval_silhouette_wilcoxon_p,eval_silhouette_cliffs_delta,eval_knn_accuracy_n,eval_knn_accuracy_mean_diff,eval_knn_accuracy_wilcoxon_stat,eval_knn_accuracy_wilcoxon_p,eval_knn_accuracy_cliffs_delta,eval_local_label_purity_n,eval_local_label_purity_mean_diff,eval_local_label_purity_wilcoxon_stat,eval_local_label_purity_wilcoxon_p,eval_local_label_purity_cliffs_delta,eval_corrupted_edge_preservation_n,eval_corrupted_edge_preservation_mean_diff,eval_corrupted_edge_preservation_wilcoxon_stat,eval_corrupted_edge_preservation_wilcoxon_p,eval_corrupted_edge_preservation_cliffs_delta,eval_corrupted_edge_q_mass_n,eval_corrupted_edge_q_mass_mean_diff,eval_corrupted_edge_q_mass_wilcoxon_stat,eval_corrupted_edge_q_mass_wilcoxon_p,eval_corrupted_edge_q_mass_cliffs_delta,eval_outlier_influence_n,eval_outlier_influence_mean_diff,eval_outlier_influence_wilcoxon_stat,eval_outlier_influence_wilcoxon_p,eval_outlier_influence_cliffs_delta,eval_between_manifold_leakage_n,eval_between_manifold_leakage_mean_diff,eval_between_manifold_leakage_wilcoxon_stat,eval_between_manifold_leakage_wilcoxon_p,eval_between_manifold_leakage_cliffs_delta,eval_false_neighbor_rate_n,eval_false_neighbor_rate_mean_diff,eval_false_neighbor_rate_wilcoxon_stat,eval_false_neighbor_rate_wilcoxon_p,eval_false_neighbor_rate_cliffs_delta,eval_boundary_label_purity_n,eval_boundary_label_purity_mean_diff,eval_boundary_label_purity_wilcoxon_stat,eval_boundary_label_purity_wilcoxon_p,eval_boundary_label_purity_cliffs_delta,eval_bridge_edge_preservation_n,eval_bridge_edge_preservation_mean_diff,eval_bridge_edge_preservation_wilcoxon_stat,eval_bridge_edge_preservation_wilcoxon_p,eval_bridge_edge_preservation_cliffs_delta
global_geometry,s_curve,none,0.0,5,0.026252032520325243,0.0,0.0625,1.0,5,0.06840000000000002,0.0,0.0625,1.0,5,0.05240000000000004,0.0,0.0625,1.0,5,0.06840000000000002,0.0,0.0625,1.0,5,0.04829999999999997,0.0,0.0625,1.0,5,-0.0141510920438088,0.0,0.0625,-0.68,5,0.009215104579925536,0.0,0.0625,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,s_curve,none,0.05,5,0.026316531165311675,0.0,0.0625,1.0,5,0.06519999999999997,0.0,0.0625,1.0,5,0.042400000000000035,0.0,0.0625,1.0,5,0.06519999999999997,0.0,0.0625,1.0,5,0.03720000000000003,0.0,0.0625,1.0,5,-0.031454600428295156,0.0,0.0625,-0.92,5,0.024663937091827393,0.0,0.0625,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,s_curve,none,0.1,5,0.03726449864498642,0.0,0.0625,1.0,5,0.06849999999999996,0.0,0.0625,1.0,5,0.047399999999999984,0.0,0.0625,1.0,5,0.06849999999999996,0.0,0.0625,1.0,5,0.05929999999999995,0.0,0.0625,1.0,5,0.05578598217989357,7.0,1.0,-0.28,5,-0.04384427070617676,7.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,swiss_roll,none,0.0,5,0.013694308943089406,0.0,0.0625,0.52,5,0.014399999999999968,0.0,0.0625,0.52,5,0.0059999999999999385,5.0,0.5625,0.04,5,0.014399999999999968,0.0,0.0625,0.52,5,0.01485000000000003,0.0,0.0625,0.52,5,-0.01718343442358864,5.0,0.625,-0.28,5,0.019138169288635255,3.0,0.3125,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,swiss_roll,none,0.05,5,0.008976151761517647,3.0,0.3125,0.28,5,0.0029999999999999693,5.0,0.5625,0.28,5,-0.005800000000000005,7.0,1.0,0.04,5,0.0029999999999999693,5.0,0.5625,0.28,5,0.011100000000000021,1.0,0.125,0.28,5,0.05411548329551881,6.0,0.8125,0.12,5,-0.03590134382247925,7.0,1.0,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,swiss_roll,none,0.1,5,0.008714905149051511,3.0,0.3125,0.28,5,-0.0009999999999999454,6.0,0.75,0.04,5,-0.00259999999999998,7.0,1.0,0.04,5,-0.0009999999999999454,6.0,0.75,0.04,5,0.012349999999999995,2.0,0.1875,0.28,5,0.053477836555633075,6.0,0.8125,0.04,5,-0.035447311401367185,7.0,1.0,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noisy_affinity,blobs,none,0.0,5,-2.7100271002722387e-05,0.0,0.0625,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.0005000000000000004,0.0,0.0625,-1.0,5,0.000642704963684082,0.0,0.0625,1.0,5,0.0,0.0,1.0,0.0,5,0.0,0.0,1.0,0.0,5,0.0,0.0,1.0,0.0,5,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
noisy_affinity,blobs,none,0.05,5,0.007724119241192429,0.0,0.0625,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.04559999999999999,0.0,0.0625,1.0,5,0.11705305576324462,0.0,0.0625,1.0,5,0.006666666666666665,0.0,1.0,0.2,5,0.011499999999999977,0.0,0.0625,1.0,5,-0.025,0.0,0.25,-0.6,5,-0.000753104267641902,0.0,0.0625,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
noisy_affinity,blobs,none,0.1,5,0.01898590785907859,0.0,0.0625,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.08509999999999998,0.0,0.0625,1.0,5,0.1875591278076172,0.0,0.0625,1.0,5,0.020000000000000018,0.0,0.125,0.8,5,0.03599999999999999,0.0,0.0625,1.0,5,-0.0725,0.0,0.0625,-1.0,5,-0.0015651333145797254,0.0,0.0625,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
noisy_affinity,blobs,none,0.2,5,0.06804607046070457,0.0,0.0625,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.10010000000000001,0.0,0.0625,1.0,5,0.3753805160522461,0.0,0.0625,1.0,5,0.12,0.0,0.0625,1.0,5,0.19859999999999997,0.0,0.0625,1.0,5,-0.14875,0.0,0.0625,-1.0,5,-0.0038129303604364393,0.0,0.0625,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
outlier_influence,blobs_bridge_outliers,none,0.0,5,-0.005646612466124634,0.0,0.0625,-0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.01180000000000001,0.0,0.0625,-0.6,5,-0.02445223331451416,2.0,0.1875,-0.52,5,0.0,0.0,1.0,0.0,5,-0.0066999999999999725,0.0,0.25,-0.56,,,,,,,,,,,5,3.4745877286468384e-10,1.0,1.0,0.04,,,,,,,,,,,,,,,,,,,,
outlier_influence,blobs_bridge_outliers,none,0.01,5,-0.003462330623306209,1.0,0.125,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.010199999999999987,3.0,0.3125,-0.6,5,-0.016262412071228027,3.0,0.3125,-0.36,5,0.0,0.0,1.0,0.0,5,-0.0039000000000000367,1.0,0.25,-0.4,,,,,,,,,,,5,0.002143717705621384,3.0,0.3125,0.44,,,,,,,,,,,,,,,,,,,,
outlier_influence,blobs_bridge_outliers,none,0.02,5,-0.005681842818428207,0.0,0.0625,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.013500000000000035,0.0,0.0625,-0.76,5,-0.0254772424697876,1.0,0.125,-0.44,5,-0.006666666666666687,0.0,0.5,-0.4,5,-0.007499999999999995,0.0,0.125,-0.52,,,,,,,,,,,5,0.0032852842763531954,0.0,0.0625,0.76,,,,,,,,,,,,,,,,,,,,
outlier_influence,blobs_bridge_outliers,none,0.05,5,-0.005344173441734457,1.0,0.125,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.0047000000000000045,3.0,0.3125,-0.36,5,-0.029147899150848387,1.0,0.125,-0.52,5,-0.0033333333333333435,0.0,1.0,-0.2,5,-0.008699999999999975,0.0,0.125,-0.64,,,,,,,,,,,5,0.008668300230056047,1.0,0.125,0.76,,,,,,,,,,,,,,,,,,,,
outlier_influence,blobs_bridge_outliers,none,0.1,5,-0.006457452574525724,1.0,0.125,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.009499999999999986,1.0,0.125,-0.52,5,-0.052934730052948,1.0,0.125,-0.52,5,-0.0033333333333333435,0.0,1.0,-0.2,5,-0.011899999999999956,0.0,0.125,-0.64,,,,,,,,,,,5,0.0037046874989755453,4.0,0.4375,0.36,,,,,,,,,,,,,,,,,,,,
symmetric_mismatch,parallel_curves,none,0.0,5,-0.0023680216802168365,0.0,0.0625,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.021099999999999897,0.0,0.0625,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.0002,0.0,0.5,-0.4,5,0.021100000000000035,0.0,0.0625,0.52,5,0.0008000000000000007,0.0,0.5,0.4,5,0.0,0.0,1.0,0.0
symmetric_mismatch,parallel_curves,none,0.05,5,0.015183739837398357,4.0,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.04800000000000002,4.0,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.05819999999999996,4.0,0.5,-0.68,5,-0.048000000000000057,4.0,0.5,-0.6,5,0.05479999999999996,4.0,0.5,0.68,5,-0.1165680473372781,4.0,0.5,-0.68
symmetric_mismatch,parallel_curves,none,0.1,5,0.0071262872628726544,0.0,0.0625,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.014199999999999968,0.0,0.0625,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.004100000000000015,0.0,0.0625,-0.68,5,-0.014199999999999924,0.0,0.0625,-1.0,5,0.011599999999999833,1.0,0.125,0.6,5,-0.04911242603550299,0.0,0.0625,-1.0
symmetric_mismatch,parallel_curves,none,0.2,5,0.00138373983739839,1.0,0.125,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.005300000000000016,0.0,0.0625,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.013499999999999979,0.0,0.0625,1.0,5,0.005300000000000038,0.0,0.0625,1.0,5,-0.025600000000000046,0.0,0.0625,-1.0,5,0.04378698224852069,0.0,0.0625,1.0
