condition,seed,mean_ood_score_ood,mean_ood_score_id,separation,cc_mean_ood_score_ood,cc_mean_ood_score_id,cc_separation,msp_mean_ood_score_ood,msp_mean_ood_score_id,msp_separation,mahal_mean_ood_score_ood,mahal_mean_ood_score_id,mahal_separation
clean,0,2.068708896636963,2.437788486480713,-0.36907958984375,0.4649575352668762,0.3440099060535431,0.12094762921333313,0.07244401425123215,0.018576625734567642,0.053867388516664505,129.4111328125,124.95719146728516,4.453941345214844
clean,1,1.9678192138671875,2.4324095249176025,-0.46459031105041504,1.2081600427627563,0.35012996196746826,0.8580300807952881,0.34463265538215637,0.0213013868778944,0.3233312666416168,146.32443237304688,128.25787353515625,18.066558837890625
clean,2,2.0625016689300537,2.4359962940216064,-0.37349462509155273,0.4941251575946808,0.3484337329864502,0.1456914246082306,0.0944957584142685,0.0196487195789814,0.07484704256057739,164.39649963378906,128.2354736328125,36.16102600097656
clean,3,2.3684988021850586,2.4336233139038086,-0.06512451171875,0.30073848366737366,0.34592607617378235,-0.04518759250640869,0.007011964917182922,0.020001821219921112,-0.01298985630273819,113.2800521850586,128.12574768066406,-14.845695495605469
clean,4,2.132261037826538,2.43757700920105,-0.3053159713745117,0.5881490111351013,0.3458578586578369,0.2422911524772644,0.09370073676109314,0.01840098388493061,0.07529975473880768,85.50577545166016,128.01962280273438,-42.51384735107422
clean,5,2.094454050064087,2.431652307510376,-0.33719825744628906,0.5961695313453674,0.3514070510864258,0.24476248025894165,0.09980607032775879,0.02218932844698429,0.07761674374341965,123.03473663330078,129.76576232910156,-6.731025695800781
clean,6,2.0751349925994873,2.4368715286254883,-0.361736536026001,0.5275509357452393,0.34442222118377686,0.1831287145614624,0.07218816131353378,0.01865832693874836,0.05352983623743057,91.11820220947266,129.14340209960938,-38.02519989013672
clean,7,1.9094040393829346,2.4338719844818115,-0.524467945098877,0.7208357453346252,0.3501904606819153,0.37064528465270996,0.163496732711792,0.021165423095226288,0.1423313021659851,96.56621551513672,127.6426773071289,-31.076461791992188
clean,8,1.9848365783691406,2.4364640712738037,-0.4516274929046631,0.8293749690055847,0.34813812375068665,0.48123684525489807,0.17534761130809784,0.01944517157971859,0.1559024453163147,134.48590087890625,126.00221252441406,8.483688354492188
clean,9,1.863734483718872,2.4313337802886963,-0.5675992965698242,0.6951321959495544,0.3560677468776703,0.33906444907188416,0.15315663814544678,0.023510124534368515,0.12964650988578796,110.01409149169922,126.22089385986328,-16.206802368164062
noisy_30,0,2.1584370136260986,2.2318246364593506,-0.07338762283325195,1.3259696960449219,1.0484246015548706,0.27754509449005127,0.4048067331314087,0.12227198481559753,0.28253474831581116,352.1668701171875,122.0960922241211,230.07077026367188
noisy_30,1,1.9395935535430908,2.2139110565185547,-0.27431750297546387,1.3905969858169556,1.050340175628662,0.34025681018829346,0.5121128559112549,0.1333412379026413,0.3787716031074524,237.4652099609375,129.70697021484375,107.75823974609375
noisy_30,2,2.320683479309082,2.17358136177063,0.14710211753845215,1.1353332996368408,1.0501173734664917,0.08521592617034912,0.04699452593922615,0.16130134463310242,-0.11430682241916656,349.76123046875,124.97346496582031,224.7877655029297
noisy_30,3,2.3462555408477783,2.208779811859131,0.13747572898864746,1.0895174741744995,1.0514659881591797,0.038051486015319824,0.02347080036997795,0.13838420808315277,-0.11491340398788452,238.20526123046875,126.87945556640625,111.3258056640625
noisy_30,4,2.2391622066497803,2.2065181732177734,0.032644033432006836,0.8931890726089478,1.053848385810852,-0.1606593132019043,0.05044951289892197,0.14044533669948578,-0.08999582380056381,172.0453643798828,126.37096405029297,45.674400329589844
noisy_30,5,2.429786205291748,2.202566146850586,0.2272200584411621,1.0074350833892822,1.0560212135314941,-0.048586130142211914,0.0007050921558402479,0.143438920378685,-0.14273382723331451,274.3318176269531,126.2059326171875,148.12588500976562
noisy_30,6,2.360933780670166,2.2064144611358643,0.15451931953430176,1.1220686435699463,1.0507164001464844,0.07135224342346191,0.06984412670135498,0.13938674330711365,-0.06954261660575867,292.309326171875,133.5604705810547,158.7488555908203
noisy_30,7,1.788495659828186,2.2314727306365967,-0.44297707080841064,1.2254215478897095,1.0550851821899414,0.17033636569976807,0.4828647971153259,0.12465030699968338,0.35821449756622314,160.57098388671875,126.47859954833984,34.092384338378906
noisy_30,8,2.511185646057129,2.1851513385772705,0.3260343074798584,1.2244598865509033,1.0491081476211548,0.17535173892974854,4.999876182409935e-05,0.15107251703739166,-0.1510225236415863,254.51223754882812,127.56779479980469,126.94444274902344
noisy_30,9,2.362863063812256,2.220453977584839,0.142409086227417,0.9102620482444763,1.0599486827850342,-0.14968663454055786,0.01808842271566391,0.13320957124233246,-0.11512114852666855,245.1553192138672,128.58084106445312,116.57447814941406
noisy_60,0,2.3682243824005127,2.1375293731689453,0.23069500923156738,1.7144616842269897,1.5102717876434326,0.20418989658355713,0.06478866934776306,0.19729676842689514,-0.13250809907913208,334.7134094238281,128.50888061523438,206.20452880859375
noisy_60,1,2.494217872619629,2.121197462081909,0.3730204105377197,1.8061734437942505,1.4949003458023071,0.31127309799194336,0.0003261093224864453,0.19653213024139404,-0.1962060183286667,428.8665466308594,126.85729217529297,302.0092468261719
noisy_60,2,2.2501380443573,2.1395137310028076,0.11062431335449219,1.558691382408142,1.513633131980896,0.045058250427246094,0.1646934598684311,0.18825948238372803,-0.023566022515296936,432.1968078613281,127.32113647460938,304.87567138671875
noisy_60,3,2.442213535308838,2.1432034969329834,0.2990100383758545,1.7567728757858276,1.5161219835281372,0.24065089225769043,0.004548778757452965,0.18779438734054565,-0.18324561417102814,204.4622344970703,122.15074157714844,82.31149291992188
noisy_60,4,2.084578037261963,2.1278269290924072,-0.043248891830444336,1.5172542333602905,1.496667504310608,0.020586729049682617,0.2460886836051941,0.19446827471256256,0.05162040889263153,325.9055480957031,132.43692016601562,193.4686279296875
noisy_60,5,2.4738001823425293,2.1402385234832764,0.33356165885925293,1.7652662992477417,1.5132758617401123,0.2519904375076294,0.0007543194224126637,0.18495376408100128,-0.18419943749904633,315.07110595703125,127.32025146484375,187.7508544921875
noisy_60,6,2.4772884845733643,2.1171154975891113,0.36017298698425293,1.7928466796875,1.495586633682251,0.297260046005249,0.006550610531121492,0.19618967175483704,-0.18963906168937683,295.25274658203125,127.91635131835938,167.33639526367188
noisy_60,7,2.4826245307922363,2.1314756870269775,0.3511488437652588,1.773858904838562,1.5034512281417847,0.27040767669677734,0.00015565415378659964,0.19344434142112732,-0.1932886838912964,199.08981323242188,133.02078247070312,66.06903076171875
noisy_60,8,2.5047595500946045,2.1295931339263916,0.3751664161682129,1.9040547609329224,1.4960473775863647,0.4080073833465576,0.0015623181825503707,0.19217944145202637,-0.1906171292066574,367.6419677734375,120.13146209716797,247.510498046875
noisy_60,9,2.177905321121216,2.120539903640747,0.05736541748046875,1.6171808242797852,1.4936507940292358,0.12353003025054932,0.35625168681144714,0.19484786689281464,0.1614038199186325,295.6614685058594,123.47867584228516,172.18280029296875
fr_loss,0,2.053030252456665,2.44661021232605,-0.39357995986938477,0.48600906133651733,0.3408549726009369,0.14515408873558044,0.07569900900125504,0.016513660550117493,0.05918534845113754,127.66351318359375,126.57583618164062,1.087677001953125
fr_loss,1,1.969465732574463,2.440767526626587,-0.471301794052124,1.17416250705719,0.3461138606071472,0.8280486464500427,0.3233833312988281,0.018661947920918465,0.3047213852405548,156.3401336669922,128.59242248535156,27.747711181640625
fr_loss,2,1.567414402961731,2.4450461864471436,-0.8776317834854126,1.341773271560669,0.3504346013069153,0.9913386702537537,0.4716203808784485,0.019575418904423714,0.4520449638366699,141.15330505371094,127.4122085571289,13.741096496582031
fr_loss,3,2.3785088062286377,2.444366931915283,-0.06585812568664551,0.30892300605773926,0.3448728024959564,-0.03594979643821716,0.006997640244662762,0.018211012706160545,-0.011213372461497784,117.7172622680664,128.8468475341797,-11.129585266113281
fr_loss,4,2.155534029006958,2.447094202041626,-0.29156017303466797,0.5665995478630066,0.34293195605278015,0.22366759181022644,0.07960741966962814,0.015825306996703148,0.06378211081027985,87.04228210449219,127.88016510009766,-40.83788299560547
fr_loss,5,2.174513101577759,2.4404709339141846,-0.2659578323364258,0.5297409296035767,0.35107603669166565,0.178664892911911,0.07427404075860977,0.02053011767566204,0.05374392122030258,113.99981689453125,129.37130737304688,-15.371490478515625
fr_loss,6,2.067484140396118,2.4455795288085938,-0.3780953884124756,0.5765482783317566,0.3435933589935303,0.23295491933822632,0.0824030190706253,0.017066041007637978,0.06533697992563248,83.39356994628906,129.40704345703125,-46.01347351074219
fr_loss,7,1.9542630910873413,2.4418623447418213,-0.48759925365448,0.7394320964813232,0.34707874059677124,0.392353355884552,0.16143548488616943,0.019159285351634026,0.14227619767189026,85.7089614868164,126.3812484741211,-40.67228698730469
fr_loss,8,1.9576627016067505,2.443645715713501,-0.4859830141067505,0.911289393901825,0.3469964861869812,0.5642929077148438,0.2051170915365219,0.017635077238082886,0.18748201429843903,138.44911193847656,125.60578918457031,12.84332275390625
fr_loss,9,1.7518473863601685,2.441274404525757,-0.6894270181655884,0.879619836807251,0.3541141748428345,0.5255056619644165,0.2186467945575714,0.020925909280776978,0.19772088527679443,99.31787872314453,126.04374694824219,-26.725868225097656
smoothed,0,0.8577978610992432,1.812483310699463,-0.9546854496002197,1.2981003522872925,0.3196853697299957,0.9784150123596191,0.6873286962509155,0.14245763421058655,0.5448710918426514,143.92703247070312,124.16542053222656,19.761611938476562
smoothed,1,0.7885780930519104,1.805924892425537,-1.0173468589782715,1.4027773141860962,0.319538950920105,1.0832383632659912,0.7373642325401306,0.1447432041168213,0.5926210284233093,219.6543731689453,126.07791900634766,93.57645416259766
smoothed,2,0.8497974872589111,1.8052332401275635,-0.9554357528686523,1.1482855081558228,0.31682640314102173,0.831459105014801,0.6320514678955078,0.14507845044136047,0.48697301745414734,245.16384887695312,127.64036560058594,117.52348327636719
smoothed,3,1.0073562860488892,1.8020261526107788,-0.7946698665618896,0.9594751000404358,0.32569554448127747,0.6337795257568359,0.5235728025436401,0.14745169878005981,0.3761211037635803,173.37716674804688,129.7623291015625,43.614837646484375
smoothed,4,0.8782214522361755,1.804520606994629,-0.9262991547584534,1.0892219543457031,0.3154449462890625,0.7737770080566406,0.6000383496284485,0.14402702450752258,0.4560113251209259,131.5614013671875,128.2945098876953,3.2668914794921875
smoothed,5,0.5939226150512695,1.8021713495254517,-1.2082487344741821,1.4908863306045532,0.31775787472724915,1.1731284856796265,0.7872069478034973,0.14576545357704163,0.6414414644241333,173.872802734375,128.6610107421875,45.2117919921875
smoothed,6,0.8042434453964233,1.8133436441421509,-1.0091001987457275,1.2741929292678833,0.312897264957428,0.9612956643104553,0.6764039397239685,0.14090976119041443,0.5354942083358765,146.04345703125,128.75894165039062,17.284515380859375
smoothed,7,0.7786135673522949,1.8002245426177979,-1.021610975265503,1.282632827758789,0.32682573795318604,0.955807089805603,0.6907158493995667,0.1485266536474228,0.5421891808509827,146.34495544433594,128.7916717529297,17.55328369140625
smoothed,8,0.803126335144043,1.8116118907928467,-1.0084855556488037,1.4725641012191772,0.31750616431236267,1.1550579071044922,0.7596546411514282,0.14141269028186798,0.6182419657707214,169.01576232910156,126.38018035888672,42.635581970214844
smoothed,9,0.4660104513168335,1.8122878074645996,-1.3462773561477661,1.4712319374084473,0.31855499744415283,1.1526769399642944,0.8032491207122803,0.14164671301841736,0.6616023778915405,139.1147003173828,127.1902084350586,11.924491882324219
